#START7777
#--------------------------------------------------------------------------------------------------
#  기상청 PM10관측자료 [입력인수형태][예] ?tm2=201701051200&stn=0
#                      stn=0 이거나 없으면, 전체 지점 표출
#--------------------------------------------------------------------------------------------------
#  1. TM      : 관측시각(KST, 년월일시분)
#  2. STN_ID  : 기상청 PM10 지점번호
#  3. PM10    : PM10 (ug/m3)
#  4. FLAG    : 장비상태
#  5. MQC     : MQC 결과
#--------------------------------------------------------------------------------------------------
#         TM    STN  PM10   FLAG MQC
202404011225,   108,   73,000000,,=
202404011230,   108,   72,000000,,=
202404011235,   108,   78,000000,,=
202404011240,   108,   82,000000,,=
202404011245,   108,   86,000000,,=
202404011250,   108,   82,000000,,=
202404011255,   108,   79,000000,,=
202404011300,   108,   81,000000,,=
202404011305,   108,   76,000000,,=
202404011310,   108,   76,000000,,=
202404011315,   108,   75,000000,,=
202404011320,   108,   70,000000,,=
202404011325,   108,   64,000000,,=
202404011330,   108,   58,000000,,=
202404011335,   108,   63,000000,,=
202404011340,   108,   61,000000,,=
202404011345,   108,   64,000000,,=
202404011350,   108,   67,000000,,=
202404011355,   108,   69,000000,,=
202404011400,   108,   76,000000,,=
202404011405,   108,   80,000000,,=
202404011410,   108,   81,000000,,=
202404011415,   108,   85,000000,,=
202404011420,   108,   86,000000,,=
202404011425,   108,   86,000000,,=
202404011430,   108,   84,000000,,=
202404011435,   108,   85,000000,,=
202404011440,   108,   83,000000,,=
202404011445,   108,   77,000000,,=
202404011450,   108,   74,000000,,=
202404011455,   108,   74,000000,,=
202404011500,   108,   76,000000,,=
202404011505,   108,   75,000000,,=
202404011510,   108,   73,000000,,=
202404011515,   108,   80,000000,,=
202404011520,   108,   83,000000,,=
202404011525,   108,   81,000000,,=
202404011530,   108,   78,000000,,=
202404011535,   108,   80,000000,,=
202404011540,   108,   81,000000,,=
202404011545,   108,   80,000000,,=
202404011550,   108,   79,000000,,=
202404011555,   108,   78,000000,,=
202404011600,   108,   81,000000,,=
202404011605,   108,   77,000000,,=
202404011610,   108,   78,000000,,=
202404011615,   108,   82,000000,,=
202404011620,   108,   84,000000,,=
202404011625,   108,   80,000000,,=
202404011630,   108,   76,000000,,=
202404011635,   108,   75,000000,,=
202404011640,   108,   71,000000,,=
202404011645,   108,   71,000000,,=
202404011650,   108,   68,000000,,=
202404011655,   108,   65,000000,,=
202404011700,   108,   70,000000,,=
202404011705,   108,   68,000000,,=
202404011710,   108,   68,000000,,=
202404011715,   108,   69,000000,,=
202404011720,   108,   68,000000,,=
202404011725,   108,   63,000000,,=
202404011730,   108,   56,000000,,=
202404011735,   108,   56,000000,,=
202404011740,   108,   52,000000,,=
202404011745,   108,   52,000000,,=
202404011750,   108,   50,000000,,=
202404011755,   108,   46,000000,,=
202404011800,   108,   47,000000,,=
202404011805,   108,   46,000000,,=
202404011810,   108,   48,000000,,=
202404011815,   108,   53,000000,,=
202404011820,   108,   54,000000,,=
202404011825,   108,   61,000000,,=
202404011830,   108,   65,000000,,=
202404011835,   108,   71,000000,,=
202404011840,   108,   74,000000,,=
202404011845,   108,   72,000000,,=
202404011850,   108,   72,000000,,=
202404011855,   108,   73,000000,,=
202404011900,   108,   68,000000,,=
202404011905,   108,   63,000000,,=
202404011910,   108,   60,000000,,=
202404011915,   108,   50,000000,,=
202404011920,   108,   42,000000,,=
202404011925,   108,   42,000000,,=
202404011930,   108,   43,000000,,=
202404011935,   108,   45,000000,,=
202404011940,   108,   43,000000,,=
202404011945,   108,   32,000000,,=
202404011950,   108,   30,000000,,=
202404011955,   108,   30,000000,,=
202404012000,   108,   26,000000,,=
202404012005,   108,   21,000000,,=
202404012010,   108,   15,000000,,=
202404012015,   108,    8,000000,,=
202404012020,   108,    4,000000,,=
202404012025,   108,    4,000000,,=
202404012030,   108,    3,000000,,=
202404012035,   108,    6,000000,,=
202404012040,   108,    7,000000,,=
202404012045,   108,    4,000000,,=
202404012050,   108,    7,000000,,=
202404012055,   108,   11,000000,,=
202404012100,   108,   10,000000,,=
202404012105,   108,   11,000000,,=
202404012110,   108,   11,000000,,=
202404012115,   108,    9,000000,,=
202404012120,   108,   11,000000,,=
202404012125,   108,    9,000000,,=
202404012130,   108,    4,000000,,=
202404012135,   108,    1,000000,,=
202404012140,   108,    4,000000,,=
202404012145,   108,    2,000000,,=
202404012150,   108,    5,000000,,=
202404012155,   108,    4,000000,,=
202404012200,   108,    0,000000,,=
202404012205,   108,    0,000000,,=
202404012210,   108,    0,000000,,=
202404012215,   108,    0,000000,,=
202404012220,   108,    0,000000,,=
202404012225,   108,    0,000000,,=
202404012230,   108,    0,000000,,=
202404012235,   108,    0,000000,,=
202404012240,   108,    2,000000,,=
202404012245,   108,    2,000000,,=
202404012250,   108,    7,000000,,=
202404012255,   108,    8,000000,,=
202404012300,   108,    6,000000,,=
202404012305,   108,    2,000000,,=
202404012310,   108,    3,000000,,=
202404012315,   108,    1,000000,,=
202404012320,   108,    4,000000,,=
202404012325,   108,    6,000000,,=
202404012330,   108,    9,000000,,=
202404012335,   108,    9,000000,,=
202404012340,   108,   11,000000,,=
202404012345,   108,   12,000000,,=
202404012350,   108,   13,000000,,=
202404012355,   108,   14,000000,,=
202404020000,   108,   17,000000,,=
202404020005,   108,   17,000004,,=
202404020010,   108,   17,000000,,=
202404020015,   108,   13,000000,,=
202404020020,   108,   14,000000,,=
202404020025,   108,   14,000000,,=
202404020030,   108,   19,000000,,=
202404020035,   108,   26,000000,,=
202404020040,   108,   31,000000,,=
202404020045,   108,   34,000000,,=
202404020050,   108,   39,000000,,=
202404020055,   108,   38,000000,,=
202404020100,   108,   42,000000,,=
202404020105,   108,   40,000000,,=
202404020110,   108,   39,000000,,=
202404020115,   108,   34,000000,,=
202404020120,   108,   35,000000,,=
202404020125,   108,   27,000000,,=
202404020130,   108,   25,000000,,=
202404020135,   108,   24,000000,,=
202404020140,   108,   22,000000,,=
202404020145,   108,   24,000000,,=
202404020150,   108,   27,000000,,=
202404020155,   108,   29,000000,,=
202404020200,   108,   33,000000,,=
202404020205,   108,   33,000000,,=
202404020210,   108,   34,000000,,=
202404020215,   108,   36,000000,,=
202404020220,   108,   38,000000,,=
202404020225,   108,   35,000000,,=
202404020230,   108,   34,000000,,=
202404020235,   108,   35,000000,,=
202404020240,   108,   34,000000,,=
202404020245,   108,   34,000000,,=
202404020250,   108,   35,000000,,=
202404020255,   108,   33,000000,,=
202404020300,   108,   31,000000,,=
202404020305,   108,   31,000000,,=
202404020310,   108,   31,000000,,=
202404020315,   108,   36,000000,,=
202404020320,   108,   33,000000,,=
202404020325,   108,   27,000000,,=
202404020330,   108,   26,000000,,=
202404020335,   108,   27,000000,,=
202404020340,   108,   31,000000,,=
202404020345,   108,   33,000000,,=
202404020350,   108,   36,000000,,=
202404020355,   108,   37,000000,,=
202404020400,   108,   32,000000,,=
202404020405,   108,   35,000000,,=
202404020410,   108,   35,000000,,=
202404020415,   108,   42,000000,,=
202404020420,   108,   42,000000,,=
202404020425,   108,   39,000000,,=
202404020430,   108,   37,000000,,=
202404020435,   108,   36,000000,,=
202404020440,   108,   33,000000,,=
202404020445,   108,   36,000000,,=
202404020450,   108,   38,000000,,=
